TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,MAX_BOTTOM_DEPTH,MIN_BOTTOM_DEPTH,MODAL_BOTTOM_DEPTH,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_OPENING_HEIGHT,MOUTH_OPENING_WIDTH,Mean_Opening_Height,CALC_MOUTH_WIDTH_m,Mean_Headrope_Depth,MODAL_GEAR_DEPTH,NET_DESC,Avg_Height_ship,Avg_Height_rbr,Avg_Width_ship,Avg_Width_calc,Avg_Depth_ship,Avg_Depth_rbr,Avg_Door,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,Door_use,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-QCSD17,Y,0,10,2,NA,QCSD17,CFV SEACREST,DAY,51.362,-127.845,97,79,NA,NA,NA,20,1.14,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.11,0.03,0.012,3.60E-04,7.60E-04
201778,BCSI-201778-QCSD18,Y,15,10,2,NA,QCSD18,CFV SEACREST,DAY,51.212,-127.849,108,100,NA,NA,NA,20,1.89,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,3.5,0.03,0.012,3.60E-04,0.00126
201778,BCSI-201778-QCSD19,Y,30,11,2,NA,QCSD19,CFV SEACREST,DAY,51.151,-127.857,106,107,NA,NA,NA,20,1.52,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.82,0.03,0.012,3.60E-04,0.0010152
201778,BCSI-201778-QCSD20,Y,0,11,2,NA,QCSD20,CFV SEACREST,DAY,51.071,-127.74,99,95,NA,NA,NA,20,1.38,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-QCSD21,Y,15,11,2,NA,QCSD21,CFV SEACREST,DAY,51.042,-127.643,171,143,NA,NA,NA,20,1.36,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.52,0.03,0.012,3.60E-04,9.07E-04
201778,BCSI-201778-QCST01,Y,30,11,2,NA,QCST01,CFV SEACREST,DAY,50.986,-127.568,142,162,NA,NA,NA,20,1.37,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.54,0.03,0.012,3.60E-04,9.14E-04
201778,BCSI-201778-QCST02,Y,0,12,13,NA,QCST02,CFV SEACREST,DAY,50.959,-127.494,141,143,NA,NA,NA,20,1.28,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.37,0.03,0.012,3.60E-04,8.53E-04
201778,BCSI-201778-QCST04,Y,30,12,16,NA,QCST04,CFV SEACREST,DAY,50.818,-127.643,364,354,NA,NA,NA,20,1.27,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.35,0.03,0.012,3.60E-04,8.46E-04
201778,BCSI-201778-QCST05,Y,0,12,11,NA,QCST05,CFV SEACREST,DAY,50.9,-127.652,430,431,NA,NA,NA,20,1.35,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.5,0.03,0.012,3.60E-04,9.00E-04
201778,BCSI-201778-QCST06,Y,15,12,11,NA,QCST06,CFV SEACREST,DAY,50.85,-127.518,175,210,NA,NA,NA,21,2.87,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,5.32,0.03,0.012,3.60E-04,0.0019152
